employee_id,clock_in,clock_out
1,2025-06-01 09:00:00,2025-06-01 17:00:00
2,2025-06-01 09:15:00,2025-06-01 17:15:00
3,2025-06-01 08:45:00,2025-06-01 16:45:00
4,2025-06-01 09:00:00,2025-06-01 17:00:00
5,2025-06-01 09:05:00,2025-06-01 17:05:00
6,2025-06-01 09:10:00,2025-06-01 17:10:00
7,2025-06-01 09:00:00,2025-06-01 17:00:00
8,2025-06-01 09:20:00,2025-06-01 17:20:00
9,2025-06-01 08:55:00,2025-06-01 16:55:00
10,2025-06-01 09:05:00,2025-06-01 17:05:00
11,2025-06-01 09:00:00,2025-06-01 17:00:00
12,2025-06-01 09:10:00,2025-06-01 17:10:00
13,2025-06-01 08:50:00,2025-06-01 16:50:00
14,2025-06-01 09:00:00,2025-06-01 17:00:00
15,2025-06-01 09:15:00,2025-06-01 17:15:00
16,2025-06-01 09:00:00,2025-06-01 17:00:00
17,2025-06-01 09:05:00,2025-06-01 17:05:00
18,2025-06-01 08:55:00,2025-06-01 16:55:00
19,2025-06-01 09:00:00,2025-06-01 17:00:00
20,2025-06-01 09:10:00,2025-06-01 17:10:00
